price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,price_per_m2,cluster,luxury_segment,is_luxurious
1145500.0,3.0,160.0,3,-1.0,-1,1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,50.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,0,-1,-1.0,-1.0,-1,1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,penthouse,2000,antwerp,Apartment,7159.375,0.0,1,True
595000.0,4.0,175.0,0,2.0,0,0,0,-1,1,-1.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,615.0,22.0,1,0,0,0,-1.0,-1.0,1,1.0,-1.0,-1,1.0,3.0,2.0,-1.0,triplex,2000,antwerp,Apartment,3400.0,1.0,0,False
199900.0,2.0,60.0,2,-1.0,0,1,0,-1,-1,1957.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,-1,292.0,-1.0,1,-1,0,0,28.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,-1.0,apartment,2100,deurne,Apartment,3331.6666666666665,1.0,0,False
199000.0,1.0,56.0,-1,-1.0,-1,0,0,-1,-1,1919.0,-1,-1,-1.0,-1.0,3,-1.0,-1.0,-1,-1,343.0,-1.0,-1,0,1,0,-1.0,-1.0,1,0.0,-1.0,0,4.0,4.0,-1.0,-1.0,apartment,2000,antwerp,Apartment,3553.5714285714284,1.0,0,False
159000.0,1.0,70.0,2,-1.0,0,1,0,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,10.0,-1.0,-1,-1,147.0,-1.0,-1,-1,0,0,28.0,-1.0,-1,1.0,-1.0,-1,7.0,15.0,1.0,-1.0,apartment,2140,borgerhout,Apartment,2271.4285714285716,1.0,0,False
209000.0,1.0,75.0,2,2.0,0,1,0,-1,-1,-1.0,-1,1,-1.0,-1.0,-1,18.0,-1.0,-1,-1,197.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,4.0,-1.0,-1.0,800.0,apartment,2660,hoboken,Apartment,2786.6666666666665,1.0,0,False
264500.0,2.0,86.0,3,2.0,0,1,0,-1,-1,2021.0,-1,1,-1.0,1.0,-1,-1.0,-1.0,-1,-1,66.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,5.0,-1.0,-1.0,-1.0,apartment,2660,hoboken,Apartment,3075.5813953488373,1.0,0,False
225000.0,2.0,96.0,2,-1.0,0,1,0,-1,-1,1966.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,-1,192.0,-1.0,-1,-1,0,0,33.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,664.0,apartment,2100,deurne,Apartment,2343.75,1.0,0,False
249000.0,2.0,70.0,2,2.0,0,1,0,-1,-1,1978.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,150.0,-1.0,-1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,4.0,7.0,1.0,1048.0,apartment,2600,berchem,Apartment,3557.1428571428573,1.0,0,False
239000.0,2.0,108.0,0,2.0,0,1,0,-1,-1,1970.0,-1,1,-1.0,1.0,-1,-1.0,-1.0,-1,-1,279.0,-1.0,0,-1,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,1.0,-1.0,-1.0,1006.0,apartment,2610,wilrijk,Apartment,2212.962962962963,1.0,0,False
