Postal Code;Special code;Submunicipality code;R?gion code;Province code;Arrondissement code;Municipality code;ISO 3166-3 Area code;Official language or language combination;Sub-municipality name (French);Sub-municipality name (Dutch);Sub-municipality name (German);R?gion name (German);R?gion name (Dutch);R?gion name (French);Province name (German);Province name (Dutch);Province name (French);Arrondissement name (German);Arrondissement name (Dutch);Arrondissement name (French);Municipality name (German);Municipality name (Dutch);Municipality name (French);sub_municipaliti_name_maj
1370;0;25048A;3000;20002;25000;25048;BEL;FR;Jodoigne;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Jodoigne;JODOIGNE
1380;0;25119A;3000;20002;25000;25119;BEL;FR;Lasne-Chapelle-Saint-Lambert;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Lasne;LASNE-CHAPELLE-SAINT-LAMBERT
1390;0;25037B;3000;20002;25000;25037;BEL;FR;Archennes;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Grez-Doiceau;ARCHENNES
1400;0;25072A;3000;20002;25000;25072;BEL;FR;Nivelles;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Nivelles;NIVELLES
1401;0;25072B;3000;20002;25000;25072;BEL;FR;Baulers;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Nivelles;BAULERS
1402;0;25072C;3000;20002;25000;25072;BEL;FR;Thines;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Nivelles;THINES
1404;0;25072E;3000;20002;25000;25072;BEL;FR;Bornival;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Nivelles;BORNIVAL
1410;0;25110A;3000;20002;25000;25110;BEL;FR;Waterloo;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Waterloo;WATERLOO
1420;0;25014A;3000;20002;25000;25014;BEL;FR;Braine-l'Alleud;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Braine-l'Alleud;BRAINE-L'ALLEUD
1421;0;25014C;3000;20002;25000;25014;BEL;FR;Ophain-Bois-Seigneur-Isaac;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Braine-l'Alleud;OPHAIN-BOIS-SEIGNEUR-ISAAC
1428;0;25014B;3000;20002;25000;25014;BEL;FR;Lillois-Witterz?e;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Braine-l'Alleud;LILLOIS-WITTERZEE
1430;0;25123A;3000;20002;25000;25123;BEL;FR;Rebecq-Rognon;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Rebecq;REBECQ-ROGNON
1435;0;25068A;3000;20002;25000;25068;BEL;FR;Mont-Saint-Guibert;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Mont-Saint-Guibert;MONT-SAINT-GUIBERT
1440;0;25015A;3000;20002;25000;25015;BEL;FR;Braine-le-Ch?teau;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Braine-le-Ch?teau;BRAINE-LE-CHATEAU
1450;0;25117C;3000;20002;25000;25117;BEL;FR;Saint-G?ry;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Chastre;SAINT-GERY
1457;0;25124A;3000;20002;25000;25124;BEL;FR;Walhain-Saint-Paul;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Walhain;WALHAIN-SAINT-PAUL
1460;0;25044A;3000;20002;25000;25044;BEL;FR;Ittre;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Ittre;ITTRE
1461;0;25044B;3000;20002;25000;25044;BEL;FR;Haut-Ittre;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Ittre;HAUT-ITTRE
1470;0;25031A;3000;20002;25000;25031;BEL;FR;Genappe;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Genappe;GENAPPE
1470;0;25031B;3000;20002;25000;25031;BEL;FR;Baisy-Thy;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Genappe;BAISY-THY
1471;0;25031C;3000;20002;25000;25031;BEL;FR;Loupoigne;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Genappe;LOUPOIGNE
1472;0;25031E;3000;20002;25000;25031;BEL;FR;Vieux-Genappe;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Genappe;VIEUX-GENAPPE
1473;0;25031F;3000;20002;25000;25031;BEL;FR;Glabais;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Genappe;GLABAIS
1474;0;25031G;3000;20002;25000;25031;BEL;FR;Ways;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Genappe;WAYS
1476;0;25031D;3000;20002;25000;25031;BEL;FR;Houtain-le-Val;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Genappe;HOUTAIN-LE-VAL
1480;0;25105A;3000;20002;25000;25105;BEL;FR;Tubize;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Tubize;TUBIZE
1490;0;25023A;3000;20002;25000;25023;BEL;FR;Court-Saint-?tienne;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Court-Saint-?tienne;COURT-SAINT-ETIENNE
1495;0;25107D;3000;20002;25000;25107;BEL;FR;Marbais;;;Wallonische Region;Waals Gewest;R?gion wallonne;;;Brabant wallon (le);;;Nivelles;;;Villers-la-Ville;MARBAIS
