postal_code;count;median_total_price;mean_total_price;median_price_per_m2;mean_price_per_m2;percent_luxurious;mun_name;province_num;province_name;region_num;region_name
8500;109;349000;400553;2664;2697;8;Kortrijk;8;West Flanders;3;Flanders
8501;13;379000;356009;2325;2209;15;Kortrijk;8;West Flanders;3;Flanders
8510;13;798000;814369;2080;2689;38;Kortrijk;8;West Flanders;3;Flanders
8511;5;745000;637800;1886;2072;60;Kortrijk;8;West Flanders;3;Flanders
8530;6;247500;489833;2946;2818;16;Harelbeke;8;West Flanders;3;Flanders
8531;3;295000;485000;1940;1957;33;Harelbeke;8;West Flanders;3;Flanders
8540;1;379000;379000;2766;2766;0;Deerlijk;8;West Flanders;3;Flanders
8550;1;500000;500000;2008;2008;0;Zwevegem;8;West Flanders;3;Flanders
8551;1;174000;174000;743;743;0;Zwevegem;8;West Flanders;3;Flanders
8552;1;345000;345000;1875;1875;0;Zwevegem;8;West Flanders;3;Flanders
8553;1;975000;975000;2114;2114;100;Zwevegem;8;West Flanders;3;Flanders
8560;4;378500;394250;1884;2003;25;Wevelgem;8;West Flanders;3;Flanders
8580;1;199000;199000;2584;2584;0;Avelgem;8;West Flanders;3;Flanders
8587;1;365000;365000;1798;1798;0;Spiere-Helkijn;8;West Flanders;3;Flanders
8600;1;219000;219000;890;890;0;Diksmuide;8;West Flanders;3;Flanders
8610;2;315910;315910;3074;3074;0;Kortemark;8;West Flanders;3;Flanders
8620;5;419000;469400;5819;5746;0;Nieuwpoort;8;West Flanders;3;Flanders
8630;1;293000;293000;3662;3662;0;Veurne;8;West Flanders;3;Flanders
8650;1;499000;499000;3006;3006;0;Houthulst;8;West Flanders;3;Flanders
8660;2;297000;297000;3559;3559;0;De Panne;8;West Flanders;3;Flanders
8670;18;287000;313605;4142;4041;0;Koksijde;8;West Flanders;3;Flanders
8710;1;1750000;1750000;3645;3645;100;Wielsbeke;8;West Flanders;3;Flanders
8720;2;445000;445000;1488;1488;0;Dentergem;8;West Flanders;3;Flanders
8740;1;259000;259000;1750;1750;0;Pittem;8;West Flanders;3;Flanders
8750;1;300000;300000;2158;2158;0;Wingene;8;West Flanders;3;Flanders
8760;4;275000;345000;2131;2047;0;Tielt;8;West Flanders;3;Flanders
8770;1;595000;595000;2095;2095;0;Ingelmunster;8;West Flanders;3;Flanders
8780;1;399000;399000;2418;2418;0;Oostrozebeke;8;West Flanders;3;Flanders
8790;39;386940;394534;2740;2703;2;Waregem;8;West Flanders;3;Flanders
8791;10;335775;351905;1757;1895;10;Waregem;8;West Flanders;3;Flanders
8792;12;414000;546891;2059;1960;41;Waregem;8;West Flanders;3;Flanders
8793;9;360000;396111;2343;2300;11;Waregem;8;West Flanders;3;Flanders
8800;193;263743;294967;2007;2071;6;Roeselare;8;West Flanders;3;Flanders
8830;2;577000;577000;2382;2382;50;Hooglede;8;West Flanders;3;Flanders
8840;3;260000;265000;3132;2978;0;Staden;8;West Flanders;3;Flanders
8870;4;195000;207500;1529;1454;0;Izegem;8;West Flanders;3;Flanders
8880;2;354000;354000;1843;1843;0;Ledegem;8;West Flanders;3;Flanders
8890;2;297750;297750;2118;2118;0;Moorslede;8;West Flanders;3;Flanders
8900;3;362000;470333;1131;1116;66;Ieper;8;West Flanders;3;Flanders
8904;1;199000;199000;603;603;0;Ieper;8;West Flanders;3;Flanders
8930;4;322200;318350;2222;2434;0;Menen;8;West Flanders;3;Flanders
8940;3;249000;277666;1956;1900;0;Wervik;8;West Flanders;3;Flanders
8980;1;995000;995000;1880;1880;100;Zonnebeke;8;West Flanders;3;Flanders
9000;251;380000;456986;3809;3955;7;Gent;9;East Flanders;3;Flanders
9030;7;479000;488678;3571;3591;0;Gent;9;East Flanders;3;Flanders
9031;4;637000;568000;3374;3192;25;Gent;9;East Flanders;3;Flanders
9032;32;395000;390182;3193;3177;0;Gent;9;East Flanders;3;Flanders
9040;25;439000;392460;3288;3289;0;Gent;9;East Flanders;3;Flanders
9041;84;403136;405280;3405;3522;2;Gent;9;East Flanders;3;Flanders
9042;3;445000;464333;1257;1362;66;Gent;9;East Flanders;3;Flanders
9050;47;500000;453574;3453;3436;2;Gent;9;East Flanders;3;Flanders
9051;15;459000;546859;3221;3246;13;Gent;9;East Flanders;3;Flanders
9052;19;463258;505455;4215;4071;5;Gent;9;East Flanders;3;Flanders
9060;1;250000;250000;2450;2450;0;Zelzate;9;East Flanders;3;Flanders
9070;1;289000;289000;1952;1952;0;Destelbergen;9;East Flanders;3;Flanders
9080;8;421404;422550;3315;3105;0;Lochristi;9;East Flanders;3;Flanders
9100;124;290000;334601;2402;2403;7;Sint-Niklaas;9;East Flanders;3;Flanders
9111;12;463821;470928;2674;2630;8;Sint-Niklaas;9;East Flanders;3;Flanders
9112;4;459500;423250;1962;1942;0;Sint-Niklaas;9;East Flanders;3;Flanders
9120;47;338500;372297;2806;2781;2;Beveren-Kruibeke-Zwijndrecht;9;East Flanders;3;Flanders
9130;6;382000;377333;1700;1841;0;Beveren-Kruibeke-Zwijndrecht;9;East Flanders;3;Flanders
9170;1;458000;458000;2475;2475;0;Sint-Gillis-Waas;9;East Flanders;3;Flanders
9180;2;307000;307000;1825;1825;50;Lokeren;9;East Flanders;3;Flanders
9190;1;665000;665000;4156;4156;0;Stekene;9;East Flanders;3;Flanders
9200;37;365000;353775;2151;2181;8;Dendermonde;9;East Flanders;3;Flanders
9220;1;485000;485000;1465;1465;100;Hamme;9;East Flanders;3;Flanders
9230;6;492808;456192;2929;2846;0;Wetteren;9;East Flanders;3;Flanders
9240;1;459000;459000;2454;2454;0;Zele;9;East Flanders;3;Flanders
9255;1;299000;299000;1317;1317;0;Buggenhout;9;East Flanders;3;Flanders
9280;1;1030000;1030000;3344;3344;100;Lebbeke;9;East Flanders;3;Flanders
9290;1;250000;250000;1623;1623;0;Berlare;9;East Flanders;3;Flanders
9300;175;319000;350918;2192;2465;7;Aalst;9;East Flanders;3;Flanders
9308;22;398000;371428;2640;2321;0;Aalst;9;East Flanders;3;Flanders
9310;18;409500;447877;2196;2405;11;Aalst;9;East Flanders;3;Flanders
9320;32;358750;382725;2222;2203;12;Aalst;9;East Flanders;3;Flanders
9340;2;356698;356698;2533;2533;0;Lede;9;East Flanders;3;Flanders
9400;103;345000;372728;2209;2168;12;Ninove;9;East Flanders;3;Flanders
9401;3;295000;288000;1421;1598;0;Ninove;9;East Flanders;3;Flanders
9402;14;298000;304285;2097;2167;0;Ninove;9;East Flanders;3;Flanders
9403;1;375000;375000;2343;2343;0;Ninove;9;East Flanders;3;Flanders
9404;3;398000;412516;1224;1177;100;Ninove;9;East Flanders;3;Flanders
9406;4;400525;425262;2017;1798;50;Ninove;9;East Flanders;3;Flanders
9420;1;190000;190000;2289;2289;0;Erpe-Mere;9;East Flanders;3;Flanders
9450;7;240000;299700;2526;2392;0;Haaltert;9;East Flanders;3;Flanders
9470;3;294415;259471;3363;3079;0;Denderleeuw;9;East Flanders;3;Flanders
9500;11;249000;399818;2193;2020;27;Geraardsbergen;9;East Flanders;3;Flanders
9506;1;180000;180000;1818;1818;0;Geraardsbergen;9;East Flanders;3;Flanders
9520;5;487500;445600;2834;2922;0;Sint-Lievens-Houtem;9;East Flanders;3;Flanders
9550;3;379000;354333;2446;2461;0;Herzele;9;East Flanders;3;Flanders
9570;1;257500;257500;2011;2011;0;Lierde;9;East Flanders;3;Flanders
9600;5;260000;253700;1209;1331;20;Ronse;9;East Flanders;3;Flanders
9620;4;322000;329500;2154;2212;0;Zottegem;9;East Flanders;3;Flanders
9630;2;329000;329000;1524;1524;0;Zwalm;9;East Flanders;3;Flanders
9660;2;1950000;1950000;3757;3757;100;Brakel;9;East Flanders;3;Flanders
9680;1;690000;690000;2129;2129;100;Maarkedal;9;East Flanders;3;Flanders
9688;1;650000;650000;3250;3250;0;Maarkedal;9;East Flanders;3;Flanders
9700;49;388250;430490;2651;2747;18;Oudenaarde;9;East Flanders;3;Flanders
9750;1;245000;245000;2987;2987;0;Kruisem;9;East Flanders;3;Flanders
9790;2;1650000;1650000;3055;3055;100;Wortegem-Petegem;9;East Flanders;3;Flanders
9800;83;399000;415835;2587;2795;2;Deinze;9;East Flanders;3;Flanders
