municipality_upper,median_income,,coord,municipality
"MONT-DE-L'ENCLUS","28.291","","50.738 3.5045","Mont-de-l’Enclus"
"MOUSCRON","24.738","","50.7364 3.2511","Moeskroen"
"COMINES-WARNETON","24.934","","50.7515 2.9302","Komen-Waasten"
"LA LOUVIERE","23.632","","50.4736 4.1567","La Louvière"
"BINCHE","25.052","","50.398 4.203","Binche"
"ESTINNES","27.433","","50.3788 4.1007","Estinnes"
"MORLANWELZ","24.732","","50.4475 4.2436","Morlanwelz"
"AMAY","26.224","","50.553 5.3116","Amay"
"BURDINNE","31.387","","50.5815 5.0535","Burdinne"
"CLAVIER","28.893","","50.413 5.365","Clavier"
"FERRIERES","28.903","","50.4072 5.6209","Ferrières"
"HAMOIR","27.294","","50.4372 5.5551","Hamoir"
"HERON","30.646","","50.5405 5.1054","Héron"
"HUY","24.357","","50.5035 5.1645","Hoei"
"MARCHIN","28.727","","50.4675 5.2375","Marchin"
"MODAVE","29.271","","50.4715 5.295","Modave"
"NANDRIN","31.172","","50.516 5.418","Nandrin"
"OUFFET","27.963","","50.4455 5.4605","Ouffet"
"VERLAINE","30.987","","50.6089 5.3024","Verlaine"
"VILLERS-LE-BOUILLET","29.243","","50.5933 5.2427","Villers-Le-Bouillet"
"WANZE","28.011","","50.5504 5.198","Wanze"
"ANTHISNES","29.235","","50.4893 5.4984","Anthisnes"
"ENGIS","25.586","","50.5575 5.3888","Engis"
"TINLOT","30.378","","50.4751 5.3799","Tinlot"
"ANS","25.054","","50.686 5.497","Ans"
"AWANS","28.293","","50.6927 5.4552","Awans"
"AYWAILLE","27.272","","50.458 5.687","Aywaille"
"BASSENGE","27.525","","50.7695 5.6345","Bitsingen"
"BEYNE-HEUSAY","25.546","","50.6284 5.6614","Beyne-Heusay"
"CHAUDFONTAINE","29.212","","50.582 5.6345","Chaudfontaine"
"COMBLAIN-AU-PONT","25.677","","50.4855 5.5625","Comblain-au-Pont"
"DALHEM","29.933","","50.7206 5.7591","Dalhem"
"ESNEUX","29.185","","50.5376 5.5688","Esneux"
"FLERON","25.749","","50.6152 5.6841","Fléron"
"HERSTAL","23.921","","50.6815 5.6065","Herstal"
"JUPRELLE","29.184","","50.7153 5.5463","Juprelle"
"LIEGE","22.342","","50.6317 5.5904","Luik"
"OUPEYE","26.216","","50.7211 5.6415","Oupeye"
"SAINT-NICOLAS, Liège","22.985","","50.6315 5.5275","Saint-Nicolas"
"SERAING","22.498","","50.588 5.511","Seraing"
"SOUMAGNE","27.645","","50.6324 5.7312","Soumagne"
"SPRIMONT","29.682","","50.5191 5.6661","Sprimont"
"VISE","26.384","","50.7415 5.6865","Wezet"
"GRACE-HOLLOGNE","24.818","","50.6375 5.431","Grâce-Hollogne"
"BLEGNY","28.694","","50.6743 5.7087","Blegny"
"FLEMALLE","25.236","","50.597 5.4414","Flémalle"
"NEUPRE","31.466","","50.5441 5.4882","Neupré"
"TROOZ","27.524","","50.5715 5.6655","Trooz"
"AMBLEVE","29.702","","50.3455 6.1814","Amel"
