url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69827,rbu69827,556000,3,161.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,15.0,None,152.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69834,rbu69834,554000,3,159.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,10.0,None,169.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69833,rbu69833,566000,3,166.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,14.0,None,176.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69830,rbu69830,566000,3,163.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,14.0,None,163.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69829,rbu69829,566000,3,166.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,14.0,None,159.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu69831,rbu69831,566000,3,166.0,None,2,None,1,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,No,None,None,None,14.0,None,167.0,None,None,None,None,None,None,None,None,No,no flooding area,(information not available),No,None,None,None,None,No,None,None,None,0,None,None,No,None,None,None,2,None,None,None,None,None,None,: No,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu51217,rbu51217,500000,3,150.0,New,2,0,1,1,No,Super equipped,None,None,None,None,None,None,2,None,None,Hot air,Yes,None,None,None,15.0,None,9.0,None,100.0,Yes,Yes,None,None,None,None,None,Yes,No,no flooding area,(information not available),None,None,None,None,None,None,35.0,None,Double glass,1,Yes,None,No,None,None,2,2,None,None,None,A,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu51219,rbu51219,500000,3,150.0,New,2,0,1,1,No,Super equipped,None,None,None,None,None,None,2,None,None,Hot air,Yes,None,None,None,23.0,0,9.0,0,107.0,Yes,Yes,None,None,None,None,None,Yes,No,no flooding area,(information not available),None,None,None,None,None,None,36.0,None,Double glass,1,Yes,None,No,None,None,2,2,None,None,None,A,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu51216,rbu51216,500000,3,150.0,New,2,0,1,1,No,Super equipped,None,None,None,None,None,None,2,None,None,Hot air,Yes,None,None,None,30.0,0,9.0,0,114.0,Yes,Yes,None,None,None,None,None,Yes,No,no flooding area,(information not available),None,None,None,None,None,None,35.0,None,Double glass,1,Yes,None,No,None,None,2,2,None,None,None,A,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu51232,rbu51232,518000,3,149.0,New,2,0,1,1,No,Super equipped,None,None,None,None,None,None,2,None,None,Hot air,Yes,None,None,None,26.0,0,9.0,0,117.0,Yes,Yes,None,None,None,None,None,Yes,No,no flooding area,(information not available),None,None,None,None,None,None,36.0,None,Double glass,1,Yes,None,No,None,None,2,2,None,None,None,A,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9050/gentbrugge/rbu51228,rbu51228,518000,3,150.0,New,2,0,1,1,No,Super equipped,None,None,None,None,None,None,2,None,None,Hot air,Yes,None,None,None,26.0,0,9.0,0,117.0,Yes,Yes,None,None,None,None,None,Yes,No,no flooding area,(information not available),None,None,None,None,None,None,36.0,None,Double glass,1,Yes,None,No,None,None,2,2,None,None,None,A,None,None,None,None
